N,0,0,3
N,0,1,2
N,0,2,2
N,0,3,2
N,0,4,2
N,0,5,3
N,0,6,2
N,0,7,1
N,0,8,0
N,0,9,2
N,0,10,4
N,0,11,5
N,0,12,2
N,0,13,4
N,0,14,2
N,0,15,2
N,0,16,2
N,0,17,1
N,0,18,1
N,0,19,0
N,1,0,5
N,1,1,4
N,1,2,0
N,1,3,3
N,1,4,4
N,1,5,3
N,1,6,3
N,1,7,4
N,1,8,0
N,1,9,4
N,1,10,1
N,1,11,1
N,1,12,0
N,1,13,3
N,1,14,5
N,1,15,4
N,1,16,2
N,1,17,1
N,1,18,2
N,1,19,4
N,2,0,4
N,2,1,1
N,2,2,1
N,2,3,3
N,2,4,4
N,2,5,4
N,2,6,3
N,2,7,3
N,2,8,2
N,2,9,1
N,2,10,0
N,2,11,3
N,2,12,5
N,2,13,2
N,2,14,2
N,2,15,3
N,2,16,2
N,2,17,2
N,2,18,0
N,2,19,3
N,3,0,2
N,3,1,3
N,3,2,2
N,3,3,3
N,3,4,4
N,3,5,3
N,3,6,0
N,3,7,1
N,3,8,4
N,3,9,4
N,3,10,2
N,3,11,2
N,3,12,5
N,3,13,2
N,3,14,1
N,3,15,2
N,3,16,2
N,3,17,3
N,3,18,4
N,3,19,3
N,4,0,3
N,4,1,3
N,4,2,5
N,4,3,3
N,4,4,0
N,4,5,1
N,4,6,4
N,4,7,4
N,4,8,1
N,4,9,4
N,4,10,0
N,4,11,1
N,4,12,1
N,4,13,1
N,4,14,5
N,4,15,4
N,4,16,3
N,4,17,0
N,4,18,0
N,4,19,0
N,5,0,3
N,5,1,2
N,5,2,1
N,5,3,5
N,5,4,3
N,5,5,2
N,5,6,4
N,5,7,4
N,5,8,1
N,5,9,4
N,5,10,2
N,5,11,5
N,5,12,4
N,5,13,2
N,5,14,2
N,5,15,3
N,5,16,1
N,5,17,0
N,5,18,2
N,5,19,5
N,6,0,3
N,6,1,4
N,6,2,1
N,6,3,5
N,6,4,3
N,6,5,1
N,6,6,1
N,6,7,2
N,6,8,2
N,6,9,4
N,6,10,5
N,6,11,2
N,6,12,4
N,6,13,1
N,6,14,0
N,6,15,0
N,6,16,5
N,6,17,2
N,6,18,4
N,6,19,3
N,7,0,3
N,7,1,0
N,7,2,5
N,7,3,1
N,7,4,0
N,7,5,5
N,7,6,2
N,7,7,1
N,7,8,5
N,7,9,0
N,7,10,2
N,7,11,1
N,7,12,0
N,7,13,2
N,7,14,3
N,7,15,4
N,7,16,5
N,7,17,3
N,7,18,2
N,7,19,2
N,8,0,4
N,8,1,3
N,8,2,0
N,8,3,2
N,8,4,5
N,8,5,5
N,8,6,1
N,8,7,5
N,8,8,5
N,8,9,0
N,8,10,5
N,8,11,0
N,8,12,5
N,8,13,3
N,8,14,0
N,8,15,4
N,8,16,0
N,8,17,5
N,8,18,0
N,8,19,2
N,9,0,0
N,9,1,5
N,9,2,5
N,9,3,1
N,9,4,4
N,9,5,5
N,9,6,0
N,9,7,4
N,9,8,4
N,9,9,1
N,9,10,1
N,9,11,3
N,9,12,5
N,9,13,3
N,9,14,5
N,9,15,1
N,9,16,1
N,9,17,2
N,9,18,0
N,9,19,2
N,10,0,1
N,10,1,5
N,10,2,1
N,10,3,3
N,10,4,1
N,10,5,3
N,10,6,3
N,10,7,0
N,10,8,1
N,10,9,0
N,10,10,2
N,10,11,4
N,10,12,1
N,10,13,3
N,10,14,0
N,10,15,5
N,10,16,1
N,10,17,0
N,10,18,5
N,10,19,1
N,11,0,0
N,11,1,1
N,11,2,2
N,11,3,2
N,11,4,3
N,11,5,2
N,11,6,3
N,11,7,5
N,11,8,5
N,11,9,2
N,11,10,2
N,11,11,3
N,11,12,3
N,11,13,0
N,11,14,4
N,11,15,0
N,11,16,1
N,11,17,4
N,11,18,4
N,11,19,0
N,12,0,0
N,12,1,3
N,12,2,0
N,12,3,0
N,12,4,2
N,12,5,2
N,12,6,2
N,12,7,5
N,12,8,5
N,12,9,0
N,12,10,1
N,12,11,4
N,12,12,2
N,12,13,3
N,12,14,5
N,12,15,1
N,12,16,3
N,12,17,2
N,12,18,0
N,12,19,5
N,13,0,5
N,13,1,0
N,13,2,1
N,13,3,3
N,13,4,5
N,13,5,1
N,13,6,4
N,13,7,1
N,13,8,2
N,13,9,0
N,13,10,5
N,13,11,3
N,13,12,0
N,13,13,1
N,13,14,0
N,13,15,4
N,13,16,4
N,13,17,1
N,13,18,4
N,13,19,2
N,14,0,4
N,14,1,1
N,14,2,4
N,14,3,4
N,14,4,0
N,14,5,2
N,14,6,0
N,14,7,3
N,14,8,3
N,14,9,4
N,14,10,4
N,14,11,1
N,14,12,0
N,14,13,2
N,14,14,1
N,14,15,2
N,14,16,3
N,14,17,0
N,14,18,5
N,14,19,5
N,15,0,0
N,15,1,1
N,15,2,5
N,15,3,2
N,15,4,2
N,15,5,5
N,15,6,3
N,15,7,4
N,15,8,1
N,15,9,4
N,15,10,4
N,15,11,1
N,15,12,2
N,15,13,0
N,15,14,4
N,15,15,2
N,15,16,1
N,15,17,4
N,15,18,3
N,15,19,4
N,16,0,3
N,16,1,4
N,16,2,0
N,16,3,0
N,16,4,3
N,16,5,4
N,16,6,5
N,16,7,0
N,16,8,0
N,16,9,0
N,16,10,1
N,16,11,4
N,16,12,5
N,16,13,1
N,16,14,3
N,16,15,1
N,16,16,4
N,16,17,4
N,16,18,3
N,16,19,0
N,17,0,1
N,17,1,0
N,17,2,5
N,17,3,2
N,17,4,2
N,17,5,2
N,17,6,5
N,17,7,0
N,17,8,5
N,17,9,5
N,17,10,1
N,17,11,4
N,17,12,0
N,17,13,0
N,17,14,5
N,17,15,2
N,17,16,5
N,17,17,1
N,17,18,1
N,17,19,3
N,18,0,0
N,18,1,2
N,18,2,3
N,18,3,5
N,18,4,5
N,18,5,0
N,18,6,3
N,18,7,1
N,18,8,3
N,18,9,3
N,18,10,4
N,18,11,2
N,18,12,2
N,18,13,0
N,18,14,1
N,18,15,4
N,18,16,0
N,18,17,1
N,18,18,2
N,18,19,4
N,19,0,5
N,19,1,3
N,19,2,5
N,19,3,1
N,19,4,2
N,19,5,5
N,19,6,4
N,19,7,1
N,19,8,5
N,19,9,0
N,19,10,1
N,19,11,1
N,19,12,2
N,19,13,4
N,19,14,4
N,19,15,2
N,19,16,5
N,19,17,0
N,19,18,5
N,19,19,0
